ideology,State,Name,Twitter Handle
0.679522692,KS-04,Ron Estes,@RepRonEstes
0.681279172,OK-02,Markwayne Mullin,@RepMullin
0.68176862,AR-02,J. French Hill,@RepFrenchHill
0.6837458190000001,IN-04,James Baird,@RepJimBaird
0.6859021279999999,TX-27,Michael Cloud,@RepCloudTX
0.68921951,TX-24,Kenny Marchant,@RepKenMarchant
0.690135553,FL-18,Brian J. Mast,@RepBrianMast
0.690468175,OH-12,Troy Balderson,@RepBalderson
0.692199672,OH-02,Brad R. Wenstrup,@RepBradWenstrup
0.6925996940000001,MN-08,Pete Stauber,@RepPeteStauber
0.69364642,IN-08,Larry Bucshon,@RepLarryBucshon
0.696170341,AR-01,"Eric A. ""Rick"" Crawford",@RepRickCrawford
0.6972047690000001,MI-02,Bill Huizenga,@RepHuizenga
0.702154925,TX-01,Louie Gohmert,@replouiegohmert
0.702225965,FL-02,Neal P. Dunn,@DrNealDunnFL2
0.702516294,FL-06,Michael Waltz,@RepMichaelWaltz
0.703733555,WA-04,Dan Newhouse,@RepNewhouse
0.704258167,OH-15,Steve Stivers,@RepSteveStivers
0.704693309,TX-11,K. Michael Conaway,@ConawayTX11
0.706870903,WI-08,Mike Gallagher,@RepGallagher
0.708102386,MN-01,Jim Hagedorn,@RepHagedorn
0.709677407,WA-05,Cathy McMorris Rodgers,@cathymcmorris
0.711004972,MS-01,Trent Kelly,@RepTrentKelly
0.711768057,IL-18,Darin LaHood,@RepLaHood
0.713005867,GA-01,"Earl L. ""Buddy"" Carter",@RepBuddyCarter
0.713791477,GA-11,Barry Loudermilk,@RepLoudermilk
0.714123237,TX-04,John Ratcliffe,@RepRatcliffe
0.71667541,MI-04,John R. Moolenaar,@RepMoolenaar
0.7167690940000001,NY-21,Elise M. Stefanik,@RepStefanik
0.716771101,TX-05,Lance Gooden,@RepLanceGooden
0.7195606309999999,IL-13,Rodney Davis,@RodneyDavis
0.7196357790000001,SC-02,Joe Wilson,@RepJoeWilson
0.722338747,OH-10,Michael R. Turner,@RepMikeTurner
0.726784021,CO-03,Scott R. Tipton,@RepTipton
0.728160455,PA-16,Mike Kelly,@MikeKellyPA
0.7293026420000001,PA-15,Glenn Thompson,@CongressmanGT
0.729528684,AL-05,Mo Brooks,@RepMoBrooks
0.729776768,MN-06,Tom Emmer,@RepTomEmmer
0.729807636,IL-12,Mike Bost,@RepBost
0.7314378440000001,MO-07,Billy Long,@USRepLong
0.731467387,TX-02,Dan Crenshaw,@RepDanCrenshaw
0.73403132,PA-10,Scott Perry,@RepScottPerry
0.7356553570000001,LA-04,Mike Johnson,@RepMikeJohnson
0.738369314,NC-06,Mark Walker,@RepMarkWalker
0.7393899740000001,TN-04,Scott DesJarlais,@DesJarlaisTN04
0.739991154,AR-04,Bruce Westerman,@RepWesterman
0.7400753859999999,PA-13,John Joyce,@RepJohnJoyce
0.7407912609999999,KY-06,Andy Barr,@RepAndyBarr
0.7415848979999999,MO-02,Ann Wagner,@RepAnnWagner
0.742286452,OK-01,Kevin Hern,@repkevinhern
0.742580754,MT - At Large,Greg Gianforte,
0.743277959,PA-14,Guy Reschenthaler,@GReschenthaler
0.744648669,OH-06,Bill Johnson,@RepBillJohnson
